date,precip,rainfall,snow_melt,Tair,baseflow,runoff
1/19/10,1.024999976,0.374441415,0,-1.997101188,0.022079535,0.009416531
1/20/10,1.225000024,0.456586808,0,-1.195956349,0.022073232,0.010650984
1/21/10,2.825000048,0.667643368,0,-2.262290001,0.02206693,0.012232658
1/22/10,0.349999994,0.038255569,0,-5.568883896,0.022060631,0.000855759
1/23/10,0,0,0,-6.840723991,0.022054333,0
1/24/10,0.200000003,0.071208224,0,-2.874671221,0.022048037,0.001606367
1/25/10,1.875,0.838293791,0,-1.904807687,0.022041744,0.016781323
1/26/10,3.900000095,1.021315217,0,-1.811851621,0.02203545,0.009846499
1/27/10,0.375,0.097523734,0,-3.420142651,0.022029158,0.000797177
1/28/10,0.574999988,0.062447481,0,-6.269379616,0.022022869,0.002560604
1/29/10,1.075000048,0,0,-6.943077087,0.022016581,0
1/30/10,0.174999997,0.047554135,0,-3.345039845,0.022010295,0.001142186
1/31/10,0.125,0.003433991,0,-8.049634933,0.02200401,0.000133253
2/1/10,0,0,0,-6.665473461,0.021997726,0
2/2/10,0,0,0,-3.812542915,0.021991445,0
2/3/10,0.300000012,0.112522997,0,-2.6764431,0.021985164,0.002372399
2/4/10,0.300000012,0.130476847,0,-2.844166756,0.021978887,0.003102271
2/5/10,0.174999997,0.105376013,0,1.015833378,0.02197261,0.002368302
2/6/10,1.325000048,0.833850324,0.048234433,1.746749997,0.021966334,0.015449895
2/7/10,3.450000048,1.431650996,0,-0.697000027,0.021960061,0.044026263
2/8/10,0.050000001,0.010077546,0,-5.430500031,0.021953788,0.000264984
2/9/10,0,0,0,-6.352416515,0.021947518,0
2/10/10,0,0,0,-4.76916647,0.02194125,0
2/11/10,0,0,0,0.470833331,0.021934982,0
2/12/10,0,0,0,1.519000053,0.021928716,0
2/13/10,0,0,0,1.019916654,0.021922452,0
2/14/10,0,0,0,1.255833387,0.02191619,0
2/15/10,0,0,0,3.316499949,0.02190993,0
2/16/10,0,0,0,0.828499973,0.021903671,0
2/17/10,0.200000003,0.115817852,0,1.293333292,0.021897415,0.002488185
2/18/10,0.975000024,0.473819673,0,0.037999999,0.021891158,0.01029057
2/19/10,1,0.404672831,0,-1.081083298,0.021884903,0.00908191
2/20/10,0.200000003,0.054502249,0,-2.302416563,0.02187865,0.001292908
2/21/10,0.224999994,0.070386417,0,-3.287499905,0.021872401,0.001846811
2/22/10,0.025,0,0,-6.743083477,0.02186615,0
2/23/10,0.025,0.010924241,0,-3.75,0.021859903,0.000237519
2/24/10,0.625,0.283397585,0,-0.102416664,0.021853657,0.006350033
2/25/10,0.375,0.17708537,0,-0.177916661,0.021847414,0.003755494
2/26/10,0.050000001,0.029166667,0,0.488583326,0.02184117,0.000539927
2/27/10,0.425000012,0.231382817,0,0.263583332,0.021834929,0.005537353
2/28/10,0.125,0.06540139,0,0.669499993,0.021828689,0.001515414
3/1/10,0,0,0,1.857083321,0.021822451,0
3/2/10,0.025,0.01676929,0,2.894666672,0.021816215,0.000332334
3/3/10,0.25,0.182785764,0,3.740333319,0.02180998,0.003688608
3/4/10,1.825000048,1.177796602,0,1.891333342,0.021803748,0.028272783
3/5/10,3.700000048,2.026823044,0.613109231,0.270166665,0.021797515,0.0612504
3/6/10,0,0,0,1.993999958,0.021791287,0
3/7/10,0,0,0,2.280499935,0.021785058,0
3/8/10,1.225000024,0.765625,0.074914046,2.601999998,0.021778831,0.01681285
3/9/10,3.25,1.661792874,0.911011934,0.789250016,0.021772606,0.07535404
3/10/10,0.449999988,0.045094278,0,-3.730583429,0.021766383,0.001937818
3/11/10,0.025,0.010416667,0,-2.372666597,0.021760162,0.000233197
3/12/10,1.149999976,0.688999236,0,1.684833288,0.021753941,0.016485417
3/13/10,2.525000095,1.185091734,0.129612342,0.409750015,0.021747723,0.028624464
3/14/10,0.100000001,0.037500001,0,-2.779750109,0.021741506,0.000861412
3/15/10,0,0,0,1.15199995,0.021735292,0
3/16/10,0,0,0,5.054166794,0.021729078,0
3/17/10,0,0,0,6.485333443,0.021722866,0
3/18/10,0,0,0,3.220416784,0.021716656,0
3/19/10,0,0,0,3.219666719,0.021710448,0
3/20/10,0,0,0,6.595166683,0.02170424,0
3/21/10,0,0,0,5.337500095,0.021698035,0
